Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
5192,Earth Defense Force 2025,PS3,2013.0,Shooter,D3Publisher,0.04,0.03,0.27,0.02,0.36,no_data,no_data,no_data,no_data
5193,Hamtaro: Ham-Ham Heartbreak,GBA,2002.0,Action,Nintendo,0.26,0.1,0.0,0.01,0.36,13,(21),18.2,"Editeur(s) / Développeur(s) Nintendo
Sortie France 27 juin 2003
Genre(s) Aventure
Classification +3 ans
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Langue de la version disponible en France Voix en français Textes en français"
5194,Okage: Shadow King,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36,--,no_data,no_data,"Sortie France 23 mars 2016
Genre(s) Aventure RPG"
5195,Press Your Luck 2010 Edition,Wii,2009.0,Misc,Ubisoft,0.33,0.0,0.0,0.03,0.36,no_data,no_data,no_data,no_data
5196,Mobile Suit Z-Gundam,PS,1997.0,Action,Namco Bandai Games,0.0,0.0,0.34,0.02,0.36,no_data,no_data,no_data,no_data
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,,Action,Unknown,0.26,0.1,0.0,0.01,0.36,no_data,no_data,no_data,no_data
5198,Tropico 4,X360,,Strategy,Kalypso Media,0.2,0.13,0.0,0.03,0.36,16,(12),17.8,"Editeur(s) / Développeur(s) Kalypso Media Haemimont Games
Sortie France 01 sept. 2011
Genre(s) Gestion Autres
Classification +16 ans
Mode(s) Jouable en solo Multi en ligne
Support(s) Contenu Xbox Live DVD Online
Date de sortie (aux Etats-Unis) août 2011
Langue de la version disponible en France Voix en français Textes en français"
5199,Speed Racer: The Videogame,DS,2008.0,Racing,Warner Bros. Interactive Entertainment,0.29,0.05,0.0,0.03,0.36,no_data,no_data,no_data,no_data
5200,NHL 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.03,0.36,16,(10),16.7,"Editeur(s) / Développeur(s) 2K Sports Visual Concepts
Sortie France 18 sept. 2009
Genre(s) Sport
Classification +16 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs Jusqu'à 4 joueurs hors ligne et 10 en ligne
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 3ème trimestre 2009
Langue de la version disponible en France Textes en français Voix en anglais"
5201,Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.36,18,(108),16.8,"Editeur(s) / Développeur(s) Ubisoft
Sortie France 30 nov. 2012
Genre(s) Plate-Forme Action Infiltration
Thème(s) Amérique du Nord Historique
Classification +18 ans
Mode(s) Jouable en solo Multi en ligne
Modèle(s) économique(s) Payant à l'acquisition
Support(s) iDensity
Langue de la version disponible en France Voix en français Textes en français"
5202,Kirby's Dream Land 3,SNES,1997.0,Platform,Nintendo,0.0,0.0,0.36,0.0,0.36,16,(9),16.3,"Editeur(s) / Développeur(s) Nintendo HAL Laboratory
Sortie France Date de sortie inconnue
Genre(s) Plate-Forme
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Date de sortie (au Japon) octobre 1997"
5203,Big Bass World Championship,PS,1997.0,Sports,Starfish,0.2,0.14,0.0,0.02,0.36,--,(0),--,"Editeur(s) / Développeur(s) Hot-b
Sortie France Date de sortie inconnue
Genre(s) Sport
Support(s) CD
Date de sortie (aux Etats-Unis) 1997"
5204,NFL GameDay 2001,PS2,2000.0,Sports,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,--,(0),--,"Editeur(s) / Développeur(s) Sony 989 Studios
Sortie France Date de sortie inconnue
Genre(s) Sport
Nombre maximum de joueurs jusqu'à 8 joueurs
Support(s) CD
Date de sortie (aux Etats-Unis) 15 novembre 2000"
5205,NBA 2K6,XB,2005.0,Action,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,13,(25),17.8,"Editeur(s) / Développeur(s) 2K Sports Visual Concepts
Sortie France 10 mars 2006
Genre(s) Sport
Classification +3 ans
Mode(s) Multi en ligne
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais"
5206,Jurassic Park,NES,1993.0,Action,Ocean,0.25,0.1,0.0,0.01,0.36,11,(3),16,"Editeur(s) / Développeur(s) BlueSky Software, Inc. Tec Toy Ocean Sega
Sortie France 28 août 1993
Genre(s) Action Shoot'em Up Aventure
Mode(s) Jouable en solo
Support(s) Disquette CD Cartouche
Date de sortie (aux Etats-Unis) 1993
Date de sortie (au Japon) 1993
Langue de la version disponible en France Textes en anglais"
