Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
3412,Go Diego Go! Great Dinosaur Rescue,Wii,2008.0,Action,Take-Two Interactive,0.53,0.02,0.0,0.04,0.59,--,no_data,no_data,"Editeur(s) / Développeur(s) 2K Play 2K Games
Sortie France 30 janv. 2009
Genre(s) Ludo-Educatif
Classification +3 ans
Support(s) DVD"
3413,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007.0,Action,Activision,0.52,0.03,0.0,0.04,0.59,no_data,no_data,no_data,no_data
3414,Extreme-G,N64,1997.0,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59,--,(15),16.5,"Editeur(s) / Développeur(s) Acclaim
Sortie France Date de sortie inconnue
Genre(s) Course
Nombre maximum de joueurs 1 à 4 joueurs
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 25 octobre 1997
Langue de la version disponible en France Textes en anglais"
3415,Ready 2 Rumble Boxing,N64,1999.0,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59,17,(10),16.9,"Editeur(s) / Développeur(s) Midway
Sortie France déc. 1999
Genre(s) Sport Combat
Classification +3 ans
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Langue de la version disponible en France Textes en français Voix en anglais"
3416,Payday 2,X360,2013.0,Shooter,505 Games,0.33,0.21,0.0,0.05,0.59,18,(407),15.3,"Editeur(s) / Développeur(s) Overkill 505 Games
Sortie France 13 août 2013
Genre(s) TPS Action FPS Tir Shooter
Classification +18 ans
Mode(s) Jouable en solo Multi en local Multi en ligne Multi en coopératif
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Online Cartouche Blu-Ray DVD Steam
Langue de la version disponible en France Textes en français Voix en anglais Textes en anglais
Accessoire(s) compatible(s) Manette"
3417,Dead or Alive Xtreme Beach Volleyball,XB,2003.0,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,12,(38),13.6,"Editeur(s) / Développeur(s) Team Ninja Tecmo
Sortie France 08 déc. 2006
Genre(s) Sport
Classification +12 ans
Nombre maximum de joueurs 1-4 joueurs
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais"
3418,Tales of Rebirth,PS2,2004.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59,18,(9),16,"Editeur(s) / Développeur(s) Bandai Namco
Sortie France Date de sortie inconnue
Genre(s) RPG
Classification +3 ans
Web Site officiel
Support(s) CD
Date de sortie (au Japon) 16 décembre 2004"
3419,SoulCalibur V,X360,2012.0,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.59,16,(356),12.7,"Editeur(s) / Développeur(s) Project Soul Bandai Namco
Sortie France 03 févr. 2012
Genre(s) Combat
Classification +16 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) Blu-Ray DVD
Langue de la version disponible en France Textes en français Voix en anglais Voix en japonais"
3420,NHL 12,PS3,2011.0,Sports,Electronic Arts,0.36,0.16,0.0,0.07,0.59,16,(44),15.8,"Editeur(s) / Développeur(s) EA Canada EA Sports
Sortie France 08 sept. 2011
Genre(s) Sport
Classification +16 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs Jusqu'à 12 en ligne
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 13 septembre 2011
Langue de la version disponible en France Textes en français Voix en anglais"
3421,Tales of Zestiria,PS3,2015.0,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59,15,(53),14,"Editeur(s) / Développeur(s) Bandai Namco
Sortie France 16 oct. 2015
Genre(s) RPG
Thème(s) Fantastique
Classification +3 ans
Mode(s) Jouable en solo Multi en local
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Blu-Ray
Date de sortie (au Japon) 22 janvier 2015
Langue de la version disponible en France Textes en français Voix en anglais"
