Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
6230,Pinkalicious,DS,2011.0,Misc,GameMill Entertainment,0.26,0.0,0.0,0.02,0.28,no_data,no_data,no_data,no_data
6231,SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0,0.28,17,(37),16.7,"Editeur(s) / Développeur(s) Maxis Electronic Arts
Sortie France 1994
Genre(s) Gestion Simulation
Classification +3 ans
Mode(s) Jouable en solo
Support(s) PlayStation Store Cartouche Disquette CD
Langue de la version disponible en France Voix en français Textes en français"
6232,Deer Hunter,PS2,2003.0,Sports,Atari,0.14,0.11,0.0,0.04,0.28,--,no_data,no_data,"Editeur(s) / Développeur(s) Sunstorm Wizardworks
Sortie France 1997
Genre(s) Sport Simulation Autres
Support(s) CD"
6233,Pokemon Box: Ruby & Sapphire,GC,2003.0,Misc,Nintendo,0.0,0.0,0.27,0.01,0.28,no_data,no_data,no_data,no_data
6234,Puyo Puyo! 15th Anniversary,DS,2006.0,Puzzle,Sega,0.0,0.0,0.28,0.0,0.28,no_data,no_data,no_data,no_data
6235,Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.02,0.28,no_data,no_data,no_data,no_data
6236,FIFA Soccer 07,X360,2006.0,Sports,Electronic Arts,0.24,0.01,0.0,0.02,0.28,no_data,no_data,no_data,no_data
6237,Mass Effect Trilogy,PC,2012.0,Action,Electronic Arts,0.09,0.16,0.0,0.03,0.28,--,(28),18.9,"Editeur(s) / Développeur(s) BioWare Electronic Arts
Sortie France 08 nov. 2012
Genre(s) Action RPG Compilation
Thème(s) Science-Fiction
Classification +18 ans
Mode(s) Jouable en solo Multi en ligne
Nombre maximum de joueurs Oui
Modèle(s) économique(s) Payant à l'acquisition
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français"
6238,Dave Mirra Freestyle BMX 2,GC,2001.0,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28,14,(6),17.5,"Editeur(s) / Développeur(s) Full Fat Z-Axis Acclaim
Sortie France 14 mars 2001
Genre(s) Sport
Classification +3 ans
Support(s) CD Cartouche Nintendo Game Disc
Langue de la version disponible en France Voix en anglais Textes en anglais"
6239,AC/DC LIVE: Rock Band Track Pack,Wii,2008.0,Misc,MTV Games,0.25,0.0,0.0,0.02,0.28,--,(6),15.7,"Editeur(s) / Développeur(s) Harmonix Electronic Arts
Sortie France 29 janv. 2009
Genre(s) Rythme
Classification +12 ans
Nombre maximum de joueurs 2 à 4 joueurs
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français"
